label,author,comment,video_id,channel,title
1,lukman8584,𝙒𝙄𝘽𝙐69𝙅𝙋 Memberikan Pelayanan Terbaik Sepanjang Masa!,153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
0,sorasore132,Dia ingin membantu rakyat tapi dengan cara yang menyusahkan rakyat,153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
1,nirvanasound4361,"Tiap hari ada aja hal baru di 𝐀Е𝐑𝑂𝟾𝟖, bikin penasaran dan excited terus! 😜 😝",153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
1,asepruswandi5091,"𝘼G𝘜𝘚𝘛О𝙏О modal tipis doang, gua lngsg WEDEY gede",153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
1,anwarsopian-p8j,🆂🅴🅺🅰🆁🅰🅽🅶 ❗ 🅳🅸 🅺🆄🅽🅶 🆂🅴🆁🅾🅽🅾 🅹🆄🅳🅸 🎲 🎰 𝕞𝕒𝕚𝕟 𝕡𝕠𝕜𝕖𝕣 𝕓𝕚𝕤𝕒 𝕓𝕦𝕪𝕒𝕣 𝕠𝕥𝕒𝕟𝕘!,153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
0,austineagungkirana5975,Subsidi selalu dijadikan alasan dicurangi ...hanya cuma buat cara membodohi rakyat saja oleh pejabat..kayak seolah olah mereka bekerja demi rakyat..prettt,153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
1,Kerongcong_ganas,"Setiap hari ada aja surprise dari 𝘼G𝘜𝘚𝘛О𝙏О, bikin penasaran terus!",153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
0,nidauladhanilova9521,"Pak kalo kami masyarakat kecil beli ke agen perlu biaya 50.000 pp sekali berangkat cuman beli 1 tabung gas iya kalo di agen masih tersedia kalo sudah habis kan mayarakat jauh lebih rugi...

Yg jadi masalah bukan masalah harga agen dan harga warung ... Yg jadi masalah tidak ada patokan harga yg tepat untuk kelas pengencer ...
Sehingga kami masyarakat tidak dapat beli di agen karena gasnya kerap kali sudah habis di agen sebab udah di borong oleh pengencer yg bersedia beli gas lebih tinggi dari harga het biasanya di tempat saya harga het di agen Rp 18.000
 Trus para pengencer bersedia beli dengan harga Rp 25.000 jadi pengencer di warung jual dengan harga 30.000... hal ini menjadi kesempatan bagi mafia melon

Sebenarnya kebijakan pemerintah saat ini sudah bagus hnya perlu dibenahi jika harga di agen udah ditentuin 18.000  maka hendaknya diatur regulasinya supaya harga di warung 20.000 atau 23.000 sesuai zonasi sehingga percaloan gas lpg di lingkaran agen + pedagang warung bisa di pangkas dan antara agen , pengencer/pedagang warung dan masyarakat kecil sama² diuntungkan


Jika harus beli di agen kasian mayarakat kecil soalnya lokasi agen jauh² dan tidak akan terjangkau oleh masyarakat kecil selain itu ... Kalo bisa juga di tambah jumlah agen supaya memangkas biaya transportasi + angkut",153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
1,10dy,"Seru banget main di AER𝘖𝟴８,pasti balik lagi buat jakpot lebih besar!",153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
0,riyandiakhmad2915,"Lalu apa solusinya?
Menteri menteri Indonesia tuh selalu bikin ngakak 😅😅😅",153XPkkQbxo,KOMPASTV,Blak-blakan! Menteri ESDM Bahlil soal Aturan Baru Gas Elpiji 3 Kg: Ada yang Mainkan Harga!
